competency_id,competency_code,competency_name,competency_type,avg_growth_Berlin,avg_growth_Brandenburg,avg_growth_Dahme-Spreewald,avg_growth_Deutschland,avg_growth_Oder-Spree,avg_growth_Teltow-Fläming,demand_score_Berlin,demand_score_Brandenburg,demand_score_Dahme-Spreewald,demand_score_Deutschland,demand_score_Oder-Spree,demand_score_Teltow-Fläming,total_jobs_Berlin,total_jobs_Brandenburg,total_jobs_Dahme-Spreewald,total_jobs_Deutschland,total_jobs_Oder-Spree,total_jobs_Teltow-Fläming,demand_score_TH_Wildau
63195,K 0700-007,Datenschutz,E,-0.16970972622618088,0.23956905141368606,0.3871610503833318,-0.016760768877384404,0.35620964888730405,1.4250897803111129,23.8,12.8,11.1,18.3,12.9,13.2,255581.0,53790.0,3213.0,3221734.0,2745.0,5567.0,12.4
62606,K 030500-004,"Öffentlichkeitsarbeit, Public Relations",E,-0.17578540498654066,0.2058129967184832,-0.033023302477923025,0.021093283142541136,0.30928193560688794,0.30646872680386533,19.8,13.1,13.1,13.9,12.5,11.5,211925.0,54648.0,3804.0,2437265.0,2659.0,4838.0,12.4
62203,K 030100-029,Warenauszeichnung,E,-0.03890441823174912,0.12269782853335719,-0.11934424286915402,0.051289973070339605,0.6916158496217568,0.6176276247149455,3.6,11.8,13.7,8.4,12.7,10.2,38289.0,49358.0,3995.0,1484169.0,2683.0,4310.0,12.2
60715,K 010202-030,"Maschinenführung, Anlagenführung, -bedienung",E,0.027762438619761656,0.28713297168718316,0.10490180607773886,0.2658192210082025,0.36250777086662583,0.2552270796205958,5.0,11.0,11.0,10.2,12.6,12.7,53947.0,45904.0,3196.0,1795631.0,2682.0,5351.0,12.1
62261,K 030203-004,Customer-Relationship-Management (CRM),E,-0.15263784267701047,0.2976576386229478,0.027012854627343666,0.0331679394363309,0.3011251687181546,0.7798497846573181,18.4,12.7,12.7,14.3,11.9,11.8,197305.0,53097.0,3698.0,2507784.0,2532.0,4972.0,12.1
60777,K 010204-011,"Gutachter-, Sachverständigentätigkeit",E,-0.0339052650467608,0.3691869112344582,0.11450812981265061,0.07306879861570027,0.15213644076591837,3.134532156712802,7.7,13.9,9.3,9.5,11.3,15.4,82778.0,58120.0,2703.0,1665871.0,2400.0,6496.0,12.0
62250,K 030201-033,Zahlungsverkehr,E,-0.11949858390494714,0.33127202534307204,0.06854302072427643,0.038851976065090575,0.8247983915968247,0.63575606376823,11.0,12.0,11.9,12.0,11.4,11.9,118002.0,50152.0,3474.0,2103626.0,2414.0,5031.0,11.7
63200,K 0700-012,"Hardwareinstallation, Softwareinstallation",E,-0.14585393981087288,0.45077700291788875,0.6497224706416226,0.016651235644627137,0.5850015162295832,1.1667859867928667,10.2,10.8,9.6,11.9,13.1,12.1,109865.0,45396.0,2799.0,2087681.0,2784.0,5098.0,11.6
59923,K 0710,Betriebssysteme,S,-0.16021828894151052,0.28081838333368103,0.5617660863268131,-0.021610197845445187,0.4682227283359405,1.3257762707151486,16.7,11.2,9.8,15.4,12.8,12.3,179172.0,47050.0,2863.0,2710082.0,2724.0,5199.0,11.6
62434,K 030303-032,Handelsrecht,E,-0.15317755389940294,0.22556360531498493,0.09231562611297806,-0.02430732815209566,0.02930040143312811,0.30055936009178347,11.3,11.3,11.9,12.1,10.4,11.8,121092.0,47444.0,3472.0,2130024.0,2210.0,4970.0,11.4
62323,K 030206-017,Korrespondenz,E,-0.14524863108280414,0.1964880837515613,0.09806724536628134,-0.0026149822387428914,-0.038858914951128344,0.5405922496370142,12.3,11.5,11.7,12.0,10.3,12.1,132264.0,47986.0,3406.0,2106611.0,2190.0,5121.0,11.4
63553,K 0703-025,Programmieren,E,-0.15817263909285234,0.32463628956985013,0.4967122591466813,-0.023234994336994268,0.4499421109782689,1.3978847439481739,16.8,10.8,9.5,14.7,12.3,12.1,180574.0,45338.0,2755.0,2578672.0,2610.0,5100.0,11.3
61260,K 010900-000,"Automatisierungstechnik, Prozessautomatisierung",E,-0.12864924161277266,0.35605211168063505,0.5101811866503065,-0.014582635834519513,0.1351953808232972,0.9344142742452403,7.6,10.2,9.1,9.8,12.2,12.0,81849.0,42721.0,2654.0,1720941.0,2580.0,5060.0,11.1
61227,K 010800-021,"Kraftfahrzeugwartung, Kraftfahrzeugreparatur",E,0.0012333046501328633,0.30797725220073713,-0.07097005043798132,0.026021712451852867,0.2012669052277486,1.1357655900927606,3.1,9.5,8.9,6.5,10.6,13.8,32951.0,39718.0,2582.0,1137402.0,2239.0,5847.0,11.1
62625,K 030502-010,"Konzeption (Werbung, Marketing, PR)",E,-0.20897129152042787,0.25267929303008596,0.057117560896999625,-0.07436403561516944,-0.05018914199586465,0.7182057298059921,30.1,12.1,11.5,16.7,9.9,11.8,322385.0,50852.0,3356.0,2941960.0,2107.0,4996.0,11.1
57577,K 0707,Netzwerktechnik,S,-0.1714392588684274,0.2634883939184066,0.5921964889986219,-0.012461954879333168,0.4339696341184514,1.3305515664847063,15.4,10.6,9.4,14.3,12.2,11.5,164598.0,44505.0,2722.0,2514953.0,2577.0,4846.0,11.0
62316,K 030206-010,"Büroorganisation, Büromanagement",E,-0.1420143039412483,0.12644618357672927,0.08883772779425032,-0.05787905505107306,-0.17003360722583405,0.29064336011963887,11.9,11.0,11.5,11.7,9.8,11.7,127856.0,46012.0,3346.0,2050602.0,2072.0,4929.0,11.0
62676,K 0400-038,Materialwirtschaft,E,-0.14065382956664385,0.17554289324797862,-0.0322497241854413,0.0003995994511834287,0.17866777152997607,0.25226894133442546,8.0,9.5,10.4,9.6,9.8,12.8,86061.0,39668.0,3012.0,1690148.0,2075.0,5385.0,11.0
64580,K 090201-009,Medizinische Dokumentation,E,-0.0011277129064220998,0.106832024421094,-0.14771398416444984,0.027199525161356403,-0.17960183442504143,5.027806255741673,6.2,12.5,7.6,8.3,10.4,14.6,66222.0,52445.0,2201.0,1459483.0,2213.0,6152.0,10.9
60663,K 010201-003,CAD (Computer Aided Design)-Systeme anwenden,E,-0.011086910093357757,0.3514697894459884,0.13619533061461186,0.0675730547677937,0.1684329104537393,0.8657965284931612,5.9,9.7,9.4,9.1,10.8,12.2,63467.0,40742.0,2719.0,1607406.0,2284.0,5145.0,10.8
63215,K 0700-027,"Sicherheitssysteme (IT), Datensicherheit",E,-0.1772509135930669,0.331223340906286,0.4896683493352254,-0.016803358767675428,0.43271263328583975,1.2765524740101235,21.3,11.0,9.4,16.3,11.3,11.8,228154.0,46075.0,2720.0,2869960.0,2399.0,5000.0,10.8
62504,K 030303-102,Vertragsrecht,E,-0.13891340085817114,0.4213291136235997,0.18442696505095985,0.0066454906672208,0.2193622076891907,0.7669374331383856,15.0,11.3,11.6,13.1,10.3,10.3,161070.0,47347.0,3360.0,2308952.0,2189.0,4332.0,10.7
61434,K 011001-002,Korrosionsschutz,E,0.08866175645829309,0.35755594016085174,0.1386584670595713,0.1291545690733302,-0.006354067886567412,0.7989898238666853,3.3,9.4,8.6,6.8,10.8,12.7,35647.0,39209.0,2506.0,1193285.0,2281.0,5353.0,10.7
100628,K 010201-027,Dokumentation (technisch),E,0.05990845366077215,0.2913951570704108,0.23909563011227178,0.04104815747163804,0.2870440752786287,0.776032678367904,12.2,10.0,8.6,12.1,11.2,11.6,131064.0,41702.0,2514.0,2119158.0,2367.0,4884.0,10.5
62247,K 030201-030,"Terminplanung, -überwachung",E,-0.07668797142906686,0.10293397129736213,0.06055700919728439,-0.043120572910641766,0.004805214172548851,0.3277577360197707,11.6,9.8,10.1,10.8,9.9,10.9,123916.0,41241.0,2934.0,1896677.0,2107.0,4590.0,10.3
59995,K 070100,CAD-/CAM-Anwendungen,S,-0.05872334610429321,0.3577406389442794,0.23467457493764393,0.026959797230992146,0.12395308879621227,0.9564760736006848,6.9,9.7,9.5,9.5,10.0,11.5,73816.0,40699.0,2772.0,1662235.0,2117.0,4842.0,10.3
62695,K 0400-058,Versand,E,-0.18006532618153323,0.006561666164135836,-0.09138386228386604,0.005117339423339704,0.31419844949536285,-0.0470667616186725,5.1,8.0,10.1,7.7,7.3,13.4,54369.0,33292.0,2938.0,1355523.0,1545.0,5663.0,10.3
