kldb_id,beruf_name,kldb_prefix2
26114,Ingenieur/in - Mechatronik,26
43152,Assistent/in - Informatik (Medieninformatik),43
27232,Technische/r Modellbauer/in - Gießerei,27
22394,Holzwirt/in,22
26232,Wärmestellengehilfe/in,26
43314,Netzplaner/in,43
32212,Pflasterer/Pflasterin,32
94402,"Produktionsfahrer/in (Film-, Fernsehproduktion)",94
53242,Beamt(er/in) - Abschiebungshaftvollzugsdienst (m.D.),53
43294,Leiter/in - Benutzerservicezentrum (EDV),43
73233,Finanzwirt/in,73
93233,Gestaltungsberater/in - Raumausstatterhandwerk,93
71333,Wirtschaftsförder(er/in),71
83293,Meister/in - Hauswirtschaft,83
41414,Ingenieur/in - Physik,41
24593,Leiter/in - Werkzeugbau,24
41254,Tierschutzbeauftragte/r,41
